case_id,path,borrower,loan_or_opportunity,document_id,statement_type,fiscal_period,normalized_line,material,manual_value,candidate_value,manual_minutes,candidate_minutes,exception_flag,certified,error_type,notes
DOC-SYN-1001-AUDIT-REVENUE,ncino_automated_spreading,Aster Machine Works LLC,LOAN-SYN-1001,DOC-SYN-1001-AUDIT,income_statement,FY2025,revenue,true,8450000,8450000,12,7,false,true,,Synthetic pass row.
DOC-SYN-1001-AUDIT-REVENUE,salesforce_native_staging,Aster Machine Works LLC,LOAN-SYN-1001,DOC-SYN-1001-AUDIT,income_statement,FY2025,revenue,true,8450000,8450000,12,8,false,true,,Synthetic pass row.
DOC-SYN-1001-AUDIT-REVENUE,manual_ncino_control,Aster Machine Works LLC,LOAN-SYN-1001,DOC-SYN-1001-AUDIT,income_statement,FY2025,revenue,true,8450000,8450000,12,12,false,true,,Synthetic pass row.
DOC-SYN-1001-AUDIT-EBITDA,ncino_automated_spreading,Aster Machine Works LLC,LOAN-SYN-1001,DOC-SYN-1001-AUDIT,income_statement,FY2025,ebitda,true,1530000,1530000,12,7,false,true,,Synthetic pass row.
DOC-SYN-1001-AUDIT-EBITDA,salesforce_native_staging,Aster Machine Works LLC,LOAN-SYN-1001,DOC-SYN-1001-AUDIT,income_statement,FY2025,ebitda,true,1530000,1530000,12,8,false,true,,Synthetic pass row.
DOC-SYN-1001-AUDIT-EBITDA,manual_ncino_control,Aster Machine Works LLC,LOAN-SYN-1001,DOC-SYN-1001-AUDIT,income_statement,FY2025,ebitda,true,1530000,1530000,12,12,false,true,,Synthetic pass row.
DOC-SYN-1001-AUDIT-DEBT_SERVICE,ncino_automated_spreading,Aster Machine Works LLC,LOAN-SYN-1001,DOC-SYN-1001-AUDIT,income_statement,FY2025,debt_service,true,720000,720000,12,7,false,true,,Synthetic pass row.
DOC-SYN-1001-AUDIT-DEBT_SERVICE,salesforce_native_staging,Aster Machine Works LLC,LOAN-SYN-1001,DOC-SYN-1001-AUDIT,income_statement,FY2025,debt_service,true,720000,720000,12,8,false,true,,Synthetic pass row.
DOC-SYN-1001-AUDIT-DEBT_SERVICE,manual_ncino_control,Aster Machine Works LLC,LOAN-SYN-1001,DOC-SYN-1001-AUDIT,income_statement,FY2025,debt_service,true,720000,720000,12,12,false,true,,Synthetic pass row.
DOC-SYN-1001-AUDIT-CASH,ncino_automated_spreading,Aster Machine Works LLC,LOAN-SYN-1001,DOC-SYN-1001-AUDIT,income_statement,FY2025,cash,true,690000,690000,12,7,false,true,,Synthetic pass row.
DOC-SYN-1001-AUDIT-CASH,salesforce_native_staging,Aster Machine Works LLC,LOAN-SYN-1001,DOC-SYN-1001-AUDIT,income_statement,FY2025,cash,true,690000,690000,12,8,false,true,,Synthetic pass row.
