case_id,path,borrower,loan_or_opportunity,document_id,statement_type,fiscal_period,source_page,source_coordinates,extracted_raw_value,normalized_line,confidence,exception_reason,reviewer,certification_timestamp,final_spread_reference,status,notes
DOC-SYN-1001-AUDIT-REVENUE,ncino_automated_spreading,Aster Machine Works LLC,LOAN-SYN-1001,DOC-SYN-1001-AUDIT,income_statement,FY2025,1,synthetic-line-1,"$8,450,000",revenue,0.93,,synthetic.reviewer@example.bank,2026-04-19T15:00:00Z,SYN-SPREAD-LOAN-SYN-1001,certified,Synthetic extracted value matches baseline.
DOC-SYN-1001-AUDIT-REVENUE,salesforce_native_staging,Aster Machine Works LLC,LOAN-SYN-1001,DOC-SYN-1001-AUDIT,income_statement,FY2025,1,synthetic-line-1,"$8,450,000",revenue,0.86,,synthetic.reviewer@example.bank,2026-04-19T15:00:00Z,SYN-SPREAD-LOAN-SYN-1001,certified,Synthetic extracted value matches baseline.
DOC-SYN-1001-AUDIT-REVENUE,manual_ncino_control,Aster Machine Works LLC,LOAN-SYN-1001,DOC-SYN-1001-AUDIT,income_statement,FY2025,1,synthetic-line-1,"$8,450,000",revenue,,,synthetic.reviewer@example.bank,2026-04-19T15:00:00Z,SYN-SPREAD-LOAN-SYN-1001,certified,Synthetic extracted value matches baseline.
DOC-SYN-1001-AUDIT-EBITDA,ncino_automated_spreading,Aster Machine Works LLC,LOAN-SYN-1001,DOC-SYN-1001-AUDIT,income_statement,FY2025,1,synthetic-line-2,"$1,530,000",ebitda,0.93,,synthetic.reviewer@example.bank,2026-04-19T15:00:00Z,SYN-SPREAD-LOAN-SYN-1001,certified,Synthetic extracted value matches baseline.
DOC-SYN-1001-AUDIT-EBITDA,salesforce_native_staging,Aster Machine Works LLC,LOAN-SYN-1001,DOC-SYN-1001-AUDIT,income_statement,FY2025,1,synthetic-line-2,"$1,530,000",ebitda,0.86,,synthetic.reviewer@example.bank,2026-04-19T15:00:00Z,SYN-SPREAD-LOAN-SYN-1001,certified,Synthetic extracted value matches baseline.
DOC-SYN-1001-AUDIT-EBITDA,manual_ncino_control,Aster Machine Works LLC,LOAN-SYN-1001,DOC-SYN-1001-AUDIT,income_statement,FY2025,1,synthetic-line-2,"$1,530,000",ebitda,,,synthetic.reviewer@example.bank,2026-04-19T15:00:00Z,SYN-SPREAD-LOAN-SYN-1001,certified,Synthetic extracted value matches baseline.
DOC-SYN-1001-AUDIT-DEBT_SERVICE,ncino_automated_spreading,Aster Machine Works LLC,LOAN-SYN-1001,DOC-SYN-1001-AUDIT,income_statement,FY2025,1,synthetic-line-3,"$720,000",debt_service,0.93,,synthetic.reviewer@example.bank,2026-04-19T15:00:00Z,SYN-SPREAD-LOAN-SYN-1001,certified,Synthetic extracted value matches baseline.
DOC-SYN-1001-AUDIT-DEBT_SERVICE,salesforce_native_staging,Aster Machine Works LLC,LOAN-SYN-1001,DOC-SYN-1001-AUDIT,income_statement,FY2025,1,synthetic-line-3,"$720,000",debt_service,0.86,,synthetic.reviewer@example.bank,2026-04-19T15:00:00Z,SYN-SPREAD-LOAN-SYN-1001,certified,Synthetic extracted value matches baseline.
DOC-SYN-1001-AUDIT-DEBT_SERVICE,manual_ncino_control,Aster Machine Works LLC,LOAN-SYN-1001,DOC-SYN-1001-AUDIT,income_statement,FY2025,1,synthetic-line-3,"$720,000",debt_service,,,synthetic.reviewer@example.bank,2026-04-19T15:00:00Z,SYN-SPREAD-LOAN-SYN-1001,certified,Synthetic extracted value matches baseline.
DOC-SYN-1001-AUDIT-CASH,ncino_automated_spreading,Aster Machine Works LLC,LOAN-SYN-1001,DOC-SYN-1001-AUDIT,income_statement,FY2025,1,synthetic-line-4,"$690,000",cash,0.93,,synthetic.reviewer@example.bank,2026-04-19T15:00:00Z,SYN-SPREAD-LOAN-SYN-1001,certified,Synthetic extracted value matches baseline.
DOC-SYN-1001-AUDIT-CASH,salesforce_native_staging,Aster Machine Works LLC,LOAN-SYN-1001,DOC-SYN-1001-AUDIT,income_statement,FY2025,1,synthetic-line-4,"$690,000",cash,0.86,,synthetic.reviewer@example.bank,2026-04-19T15:00:00Z,SYN-SPREAD-LOAN-SYN-1001,certified,Synthetic extracted value matches baseline.
DOC-SYN-1001-AUDIT-CASH,manual_ncino_control,Aster Machine Works LLC,LOAN-SYN-1001,DOC-SYN-1001-AUDIT,income_statement,FY2025,1,synthetic-line-4,"$690,000",cash,,,synthetic.reviewer@example.bank,2026-04-19T15:00:00Z,SYN-SPREAD-LOAN-SYN-1001,certified,Synthetic extracted value matches baseline.
DOC-SYN-1001-AUDIT-CURRENT_ASSETS,ncino_automated_spreading,Aster Machine Works LLC,LOAN-SYN-1001,DOC-SYN-1001-AUDIT,income_statement,FY2025,2,synthetic-line-5,"$4,080,000",current_assets,0.93,,synthetic.reviewer@example.bank,2026-04-19T15:00:00Z,SYN-SPREAD-LOAN-SYN-1001,certified,Synthetic extracted value matches baseline.
DOC-SYN-1001-AUDIT-CURRENT_ASSETS,salesforce_native_staging,Aster Machine Works LLC,LOAN-SYN-1001,DOC-SYN-1001-AUDIT,income_statement,FY2025,2,synthetic-line-5,"$4,080,000",current_assets,0.86,,synthetic.reviewer@example.bank,2026-04-19T15:00:00Z,SYN-SPREAD-LOAN-SYN-1001,certified,Synthetic extracted value matches baseline.
DOC-SYN-1001-AUDIT-CURRENT_ASSETS,manual_ncino_control,Aster Machine Works LLC,LOAN-SYN-1001,DOC-SYN-1001-AUDIT,income_statement,FY2025,2,synthetic-line-5,"$4,080,000",current_assets,,,synthetic.reviewer@example.bank,2026-04-19T15:00:00Z,SYN-SPREAD-LOAN-SYN-1001,certified,Synthetic extracted value matches baseline.
