case_id,borrower,loan_or_opportunity,document_id,statement_type,fiscal_period,normalized_line,manual_value,material,analyst,certification_timestamp,source_page,source_coordinates,notes
DOC-SYN-1001-AUDIT-REVENUE,Aster Machine Works LLC,LOAN-SYN-1001,DOC-SYN-1001-AUDIT,income_statement,FY2025,revenue,8450000,true,synthetic.senior.analyst@example.bank,2026-04-19T14:00:00Z,1,synthetic-line-1,Gold-standard synthetic value.
DOC-SYN-1001-AUDIT-EBITDA,Aster Machine Works LLC,LOAN-SYN-1001,DOC-SYN-1001-AUDIT,income_statement,FY2025,ebitda,1530000,true,synthetic.senior.analyst@example.bank,2026-04-19T14:00:00Z,1,synthetic-line-2,Gold-standard synthetic value.
DOC-SYN-1001-AUDIT-DEBT_SERVICE,Aster Machine Works LLC,LOAN-SYN-1001,DOC-SYN-1001-AUDIT,income_statement,FY2025,debt_service,720000,true,synthetic.senior.analyst@example.bank,2026-04-19T14:00:00Z,1,synthetic-line-3,Gold-standard synthetic value.
DOC-SYN-1001-AUDIT-CASH,Aster Machine Works LLC,LOAN-SYN-1001,DOC-SYN-1001-AUDIT,income_statement,FY2025,cash,690000,true,synthetic.senior.analyst@example.bank,2026-04-19T14:00:00Z,1,synthetic-line-4,Gold-standard synthetic value.
DOC-SYN-1001-AUDIT-CURRENT_ASSETS,Aster Machine Works LLC,LOAN-SYN-1001,DOC-SYN-1001-AUDIT,income_statement,FY2025,current_assets,4080000,true,synthetic.senior.analyst@example.bank,2026-04-19T14:00:00Z,2,synthetic-line-5,Gold-standard synthetic value.
DOC-SYN-1001-AUDIT-CURRENT_LIABILITIES,Aster Machine Works LLC,LOAN-SYN-1001,DOC-SYN-1001-AUDIT,income_statement,FY2025,current_liabilities,1740000,true,synthetic.senior.analyst@example.bank,2026-04-19T14:00:00Z,2,synthetic-line-6,Gold-standard synthetic value.
DOC-SYN-1001-AUDIT-TOTAL_LIABILITIES,Aster Machine Works LLC,LOAN-SYN-1001,DOC-SYN-1001-AUDIT,income_statement,FY2025,total_liabilities,4950000,true,synthetic.senior.analyst@example.bank,2026-04-19T14:00:00Z,2,synthetic-line-7,Gold-standard synthetic value.
DOC-SYN-1001-AUDIT-NET_WORTH_EQUITY,Aster Machine Works LLC,LOAN-SYN-1001,DOC-SYN-1001-AUDIT,income_statement,FY2025,net_worth_equity,3620000,true,synthetic.senior.analyst@example.bank,2026-04-19T14:00:00Z,2,synthetic-line-8,Gold-standard synthetic value.
DOC-SYN-1001-TAX-REVENUE,Aster Machine Works LLC,LOAN-SYN-1001,DOC-SYN-1001-TAX,tax_return,FY2025,revenue,8610000,true,synthetic.senior.analyst@example.bank,2026-04-19T14:00:00Z,1,synthetic-line-1,Gold-standard synthetic value.
DOC-SYN-1001-TAX-EBITDA,Aster Machine Works LLC,LOAN-SYN-1001,DOC-SYN-1001-TAX,tax_return,FY2025,ebitda,1440000,true,synthetic.senior.analyst@example.bank,2026-04-19T14:00:00Z,1,synthetic-line-2,Gold-standard synthetic value.
DOC-SYN-1001-TAX-CASH,Aster Machine Works LLC,LOAN-SYN-1001,DOC-SYN-1001-TAX,tax_return,FY2025,cash,690000,true,synthetic.senior.analyst@example.bank,2026-04-19T14:00:00Z,1,synthetic-line-3,Gold-standard synthetic value.
DOC-SYN-1001-TAX-TOTAL_LIABILITIES,Aster Machine Works LLC,LOAN-SYN-1001,DOC-SYN-1001-TAX,tax_return,FY2025,total_liabilities,4950000,true,synthetic.senior.analyst@example.bank,2026-04-19T14:00:00Z,1,synthetic-line-4,Gold-standard synthetic value.
DOC-SYN-1002-COMPANY-REVENUE,Bright Harbor Foods Inc.,LOAN-SYN-1002,DOC-SYN-1002-COMPANY,income_statement,FY2025,revenue,12020000,true,synthetic.senior.analyst@example.bank,2026-04-19T14:00:00Z,1,synthetic-line-1,Gold-standard synthetic value.
DOC-SYN-1002-COMPANY-EBITDA,Bright Harbor Foods Inc.,LOAN-SYN-1002,DOC-SYN-1002-COMPANY,income_statement,FY2025,ebitda,1020000,true,synthetic.senior.analyst@example.bank,2026-04-19T14:00:00Z,1,synthetic-line-2,Gold-standard synthetic value.
DOC-SYN-1002-COMPANY-DEBT_SERVICE,Bright Harbor Foods Inc.,LOAN-SYN-1002,DOC-SYN-1002-COMPANY,income_statement,FY2025,debt_service,1160000,true,synthetic.senior.analyst@example.bank,2026-04-19T14:00:00Z,1,synthetic-line-3,Gold-standard synthetic value.
DOC-SYN-1002-COMPANY-CASH,Bright Harbor Foods Inc.,LOAN-SYN-1002,DOC-SYN-1002-COMPANY,income_statement,FY2025,cash,410000,true,synthetic.senior.analyst@example.bank,2026-04-19T14:00:00Z,1,synthetic-line-4,Gold-standard synthetic value.
DOC-SYN-1002-COMPANY-CURRENT_ASSETS,Bright Harbor Foods Inc.,LOAN-SYN-1002,DOC-SYN-1002-COMPANY,income_statement,FY2025,current_assets,2950000,true,synthetic.senior.analyst@example.bank,2026-04-19T14:00:00Z,2,synthetic-line-5,Gold-standard synthetic value.
DOC-SYN-1002-COMPANY-CURRENT_LIABILITIES,Bright Harbor Foods Inc.,LOAN-SYN-1002,DOC-SYN-1002-COMPANY,income_statement,FY2025,current_liabilities,2610000,true,synthetic.senior.analyst@example.bank,2026-04-19T14:00:00Z,2,synthetic-line-6,Gold-standard synthetic value.
DOC-SYN-1002-COMPANY-TOTAL_LIABILITIES,Bright Harbor Foods Inc.,LOAN-SYN-1002,DOC-SYN-1002-COMPANY,income_statement,FY2025,total_liabilities,7840000,true,synthetic.senior.analyst@example.bank,2026-04-19T14:00:00Z,2,synthetic-line-7,Gold-standard synthetic value.
DOC-SYN-1002-COMPANY-NET_WORTH_EQUITY,Bright Harbor Foods Inc.,LOAN-SYN-1002,DOC-SYN-1002-COMPANY,income_statement,FY2025,net_worth_equity,2240000,true,synthetic.senior.analyst@example.bank,2026-04-19T14:00:00Z,2,synthetic-line-8,Gold-standard synthetic value.
DOC-SYN-1003-SCAN-REVENUE,Cobalt Components Co.,LOAN-SYN-1003,DOC-SYN-1003-SCAN,balance_sheet,FY2025,revenue,4980000,true,synthetic.senior.analyst@example.bank,2026-04-19T14:00:00Z,1,synthetic-line-1,Gold-standard synthetic value.
DOC-SYN-1003-SCAN-EBITDA,Cobalt Components Co.,LOAN-SYN-1003,DOC-SYN-1003-SCAN,balance_sheet,FY2025,ebitda,620000,true,synthetic.senior.analyst@example.bank,2026-04-19T14:00:00Z,1,synthetic-line-2,Gold-standard synthetic value.
DOC-SYN-1003-SCAN-DEBT_SERVICE,Cobalt Components Co.,LOAN-SYN-1003,DOC-SYN-1003-SCAN,balance_sheet,FY2025,debt_service,590000,true,synthetic.senior.analyst@example.bank,2026-04-19T14:00:00Z,1,synthetic-line-3,Gold-standard synthetic value.
